CTOD,Stress
24.732,0.25863
25.096,0.22905
25.162,0.089583
25.23,0.089695
25.359,0.34984
25.531,0.25285
25.598,0.073116
25.94,0.20747
25.945,0.14107
26.054,0.40739
26.058,0.17114
26.358,0.14342
26.588,0.18457
26.636,0.12965
26.782,0.20518
26.786,0.18105
27.173,0.1416
27.245,0.12181
27.332,0.15985
27.475,0.15256
27.575,0.17018
27.803,0.071486
27.967,0.10185
28.071,0.11262
28.091,0.083472
28.293,0.027932
28.421,0.14597
28.609,0.25678
28.747,0.053619
28.782,0.18188
28.879,0.15565
29.09,0.22331
29.157,0.087659
29.256,0.1212
29.505,0.11465
29.518,0.15764
29.59,0.19443
29.688,0.22378
29.887,0.097956
29.992,0.21446
30.263,0.13824
30.294,0.14722
30.317,0.10724
30.495,0.16603
30.711,0.10877
30.796,0.12518
30.928,0.16797
31.039,0.07407
31.131,0.13726
31.308,0.077026
31.498,0.1117
31.568,0.16411
31.599,0.056502
31.814,0.058525
31.838,0.070762
32.032,0.012144
32.222,0.095754
32.257,0.086637
32.311,0.15362
32.409,0.081822
32.644,0.11136
32.666,0.13529
32.725,0.10493
33.043,0.072697
33.103,0.1111
33.121,0.072589
33.169,0.11673
33.379,0.11033
33.598,0.084806
33.724,0.044394
33.78,0.11711
33.953,0.042287
34.067,0.079637
34.183,0.087534
34.208,0.071615
34.413,0.12726
34.618,0.11296
34.638,0.095646
34.756,0.06952
34.783,0.10698
35.024,0.093234
35.073,0.11629
35.227,0.14713
35.387,0.092264
35.508,0.088763
35.525,0.067702
35.716,0.12825
35.759,0.10637
35.944,0.09515
36.126,0.095974
36.229,0.12536
36.237,0.072031
36.507,0.072473
36.737,0.1234
36.908,0.12441
36.927,0.052132
37.213,0.096062
37.372,0.051842
37.636,0.11758
37.682,0.074104
37.788,0.071411
38.214,0.079089
38.238,0.056757
38.407,0.084105
38.697,0.053893
38.81,0.075516
39.184,0.056123
39.202,0.058765
39.379,0.028295
39.632,0.064203
39.898,0.093201
39.908,0.053712
40.061,0.047132
40.355,0.05685
40.534,0.061076
40.645,0.13088
40.762,0.058091
41.025,0.068158
41.182,0.079916
41.425,0.071317
41.453,0.072367
41.59,0.074608
41.856,0.08862
42.038,0.098691
42.285,0.036609
42.306,0.065438
42.499,0.084493
42.739,0.074273
42.958,0.081123
43.055,0.061176
43.159,0.073791
43.352,0.067793
43.615,0.026825
43.713,0.071728
43.748,0.07151
44.1,0.018232
44.105,0.094049
44.384,0.050526
44.562,0.10109
44.62,0.032259
44.972,0.056176
45.054,0.054484
45.093,0.041691
45.481,0.077231
45.526,0.0031269
45.536,0.06159
45.91,0.046618
46.034,0.065125
46.064,0.092542
46.248,0.051944
46.607,0.063038
46.633,0.051802
46.682,0.032625
47.036,0.055393
47.058,0.056734
47.293,0.023973
47.389,0.054507
47.493,0.054495
47.725,0.080131
47.85,0.034396
47.96,0.05472
48.076,0.056835
48.374,0.057163
48.436,0.02064
48.438,0.045844
48.795,0.043701
48.813,0.090494
48.978,0.059072
49.219,0.094333
49.223,0.056442
49.453,0.07578
49.702,0.07885
50.006,0.039465
50.198,0.054662
50.614,0.043382
50.681,0.057499
51.167,0.068608
51.173,0.048648
51.661,0.07706
51.666,0.057079
52.164,0.083387
52.183,0.064366
52.676,0.056109
52.78,0.077992
53.129,0.056205
53.465,0.057193
53.496,0.094241
53.854,0.083478
54.138,0.048841
54.286,0.075148
54.757,0.048002
54.767,0.032223
55.196,0.045065
55.423,0.025562
55.577,0.051724
56.033,0.013222
56.038,0.055125
56.481,0.060144
56.62,0.036612
56.922,0.044604
57.258,0.033377
57.406,0.03626
57.856,0.051677
57.956,0.044261
58.27,0.054742
58.642,0.033174
58.667,0.054814
59.055,0.053918
59.244,0.017711
59.463,0.063046
59.769,0.032378
59.938,0.042605
60.264,0.05081
60.369,0.054796
60.729,0.070031
60.783,0.052464
61.361,0.052466
61.951,0.044019
62.471,0.042166
62.955,0.045696
63.422,0.064073
63.946,0.074272
64.52,0.043947
65.103,0.052437
65.66,0.056885
66.271,0.047974
66.853,0.030499
67.361,0.024137
67.778,0.043888
68.202,0.049758
68.67,0.046357
69.118,0.06201
69.592,0.070645
70.129,0.071785
70.718,0.055589
71.332,0.057263
71.939,0.052256
72.567,0.054351
73.197,0.058983
73.855,0.04969
74.515,0.054778
75.246,0.044392
75.99,0.044617
76.676,0.031808
77.312,0.043347
77.916,0.039533
78.512,0.039089
79.079,0.059291
79.591,0.052363
80.102,0.055572
80.662,0.04951
81.262,0.032884
81.762,0.042064
82.232,0.052395
82.712,0.053034
83.222,0.058069
83.692,0.048785
84.152,0.06416
84.652,0.066303
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
